workerid,OS,screenH,screenW,Browser
0,"""Windows""",768,1366,"""Chrome"""
1,"""Windows""",1080,1920,"""Chrome"""
2,"""Windows""",1024,1280,"""Chrome"""
3,"""Windows""",1080,1920,"""Chrome"""
4,"""Windows""",900,1600,"""Chrome"""
5,"""Windows""",1080,1920,"""Chrome"""
6,"""Windows""",1440,3440,"""Chrome"""
7,"""Windows""",900,1600,"""Chrome"""
8,"""Windows""",768,1024,"""Chrome"""
9,"""Windows""",864,1536,"""Chrome"""
10,"""Windows""",720,1280,"""Chrome"""
11,"""Windows""",1440,2560,"""Chrome"""
12,"""Windows""",768,1366,"""Firefox"""
13,"""Windows""",1080,1920,"""Chrome"""
14,"""Windows""",1080,1920,"""Chrome"""
15,"""Windows""",1080,1920,"""Chrome"""
16,"""Windows""",720,1280,"""Chrome"""
17,"""Windows""",900,1600,"""Chrome"""
18,"""Windows""",1080,1920,"""Chrome"""
19,"""Windows""",864,1536,"""Chrome"""
